disposition,period,duration,transit_depth,planet_radius,star_temp,star_radius,model_snr,fp_flag_nt,fp_flag_ss,fp_flag_co,fp_flag_ec,ra,dec,sma,display_name,source_kepler,source_tess
0,16.46983774,9.4378,10479.0,7.94,5152.0,0.786,303.4,0.0,1.0,0.0,0.0,5152.0,5152.0,0.1147,,True,False
1,9.27358173,3.2875,1288.3,2.47,4856.0,0.696,87.2,0.0,0.0,0.0,0.0,4856.0,4856.0,0.0759,Kepler-660 b,True,False
1,6.02930329,1.5821,1912.7,2.85,4537.0,0.672,65.4,0.0,0.0,0.0,0.0,4537.0,4537.0,0.0585,Kepler-661 b,True,False
0,2.696370652,3.6129,397.9,1.58,4989.0,0.819,48.2,0.0,1.0,1.0,1.0,4989.0,4989.0,0.0349,,True,False
1,5.349553819,3.0278,831.0,2.55,5185.0,0.91,60.6,0.0,0.0,0.0,0.0,5185.0,5185.0,0.0563,Kepler-226 c,True,False
1,3.94105221,2.5984,363.3,1.7,5185.0,0.91,28.9,0.0,0.0,0.0,0.0,5185.0,5185.0,0.046,Kepler-226 b,True,False
1,8.10904807,3.596,217.4,1.3,5185.0,0.91,14.1,0.0,0.0,0.0,0.0,5185.0,5185.0,0.0743,Kepler-226 d,True,False
0,386.6030528,6.8057,24927.0,41.5,5543.0,1.58,994.0,0.0,1.0,0.0,0.0,5543.0,5543.0,1.0719,,True,False
1,21.67699193,3.4555,857.2,2.95,4954.0,0.828,34.3,0.0,0.0,0.0,0.0,4954.0,4954.0,0.1408,Kepler-662 b,True,False
1,4.99677968,2.1717,934.7,2.78,5339.0,0.847,28.2,0.0,0.0,0.0,0.0,5339.0,5339.0,0.0559,Kepler-663 b,True,False
1,4.280963604,2.875,750.8,2.3,5644.0,0.831,61.8,0.0,0.0,0.0,0.0,5644.0,5644.0,0.0503,Kepler-671 b,True,False
0,1.50635409,1.5155,2211.7,4.53,5714.0,0.831,181.1,0.0,0.0,1.0,0.0,5714.0,5714.0,0.025,,True,False
0,670.645531,53.412,18091.0,14.14,5520.0,0.983,642.7,0.0,1.0,1.0,0.0,5520.0,5520.0,1.5155,,True,False
0,61.2563628,7.633,5123.3,39.87,6144.0,1.091,85.3,0.0,1.0,0.0,0.0,6144.0,6144.0,0.3137,,True,False
1,38.3775486,5.588,724.2,2.82,5481.0,1.036,34.7,0.0,0.0,0.0,0.0,5481.0,5481.0,0.2163,Kepler-672 b,True,False
1,41.19725502,4.6297,2213.9,3.86,5031.0,0.848,51.2,0.0,0.0,0.0,0.0,5031.0,5031.0,0.217,Kepler-229 d,True,False
1,6.252962249,2.5819,1036.9,2.65,5031.0,0.848,47.1,0.0,0.0,0.0,0.0,5031.0,5031.0,0.0617,Kepler-229 b,True,False
1,16.01308419,3.2554,1121.9,3.1,5015.0,0.826,33.2,0.0,0.0,0.0,0.0,5015.0,5015.0,0.1148,Kepler-665 b,True,False
1,32.62876672,4.7971,1804.8,3.36,5586.0,0.798,80.0,0.0,0.0,0.0,0.0,5586.0,5586.0,0.1889,Kepler-230 b,True,False
1,91.7732862,6.473,652.0,2.12,5586.0,0.798,19.1,0.0,0.0,0.0,0.0,5586.0,5586.0,0.3764,Kepler-230 c,True,False
1,4.959319244,2.22739,9802.0,12.21,5712.0,1.082,696.5,0.0,0.0,0.0,0.0,5712.0,5712.0,0.0565,Kepler-1976 b,True,False
0,2.701287801,3.3827,860.4,6.54,5550.0,0.91,48.3,0.0,1.0,1.0,0.0,5550.0,5550.0,0.0365,,True,False
1,4.49876511,3.7362,460.0,2.1,6075.0,0.969,29.5,0.0,0.0,0.0,0.0,6075.0,6075.0,0.0542,Kepler-666 b,True,False
0,19.651209505,5.2514,11766.0,12.42,6074.0,1.063,513.4,0.0,1.0,0.0,0.0,6074.0,6074.0,0.1433,,True,False
1,5.412203927,2.9472,601.6,2.94,5779.0,1.087,166.7,0.0,0.0,0.0,0.0,5779.0,5779.0,0.0591,Kepler-105 b,True,False
1,41.43958662,10.5989,2793.1,5.5,5468.0,1.046,141.1,0.0,0.0,0.0,0.0,5468.0,5468.0,0.2288,Kepler-667 b,True,False
1,8.35389523,2.2514,1041.6,2.52,5592.0,0.787,43.4,0.0,0.0,0.0,0.0,5592.0,5592.0,0.0768,Kepler-668 b,True,False
1,4.125543472,3.1744,1487.3,4.43,6174.0,1.103,128.6,0.0,0.0,0.0,0.0,6174.0,6174.0,0.0529,Kepler-669 b,True,False
1,2.816504904,2.50587,16814.0,12.21,5532.0,0.955,1406.8,0.0,0.0,0.0,0.0,5532.0,5532.0,0.0383,Kepler-670 b,True,False
0,33.93373447,14.561,8503.7,7.34,5040.0,0.705,236.1,0.0,1.0,1.0,0.0,5040.0,5040.0,0.1881,,True,False
1,3.689920099,2.6557,426.7,1.89,5880.0,0.917,35.6,0.0,0.0,0.0,0.0,5880.0,5880.0,0.0469,Kepler-680 b,True,False
1,4.431238488,3.15,1010.9,3.25,5714.0,1.015,71.1,0.0,0.0,0.0,0.0,5714.0,5714.0,0.0529,Kepler-232 b,True,False
1,11.37936986,2.6255,1023.5,3.95,5714.0,1.015,37.9,0.0,0.0,0.0,0.0,5714.0,5714.0,0.0993,Kepler-232 c,True,False
1,26.39432897,3.573,1510.9,3.07,5129.0,0.763,48.2,0.0,0.0,0.0,0.0,5129.0,5129.0,0.1635,Kepler-681 b,True,False
1,13.57078281,3.3539,511.7,2.64,5854.0,1.012,88.4,0.0,0.0,0.0,0.0,5854.0,5854.0,0.1096,Kepler-106 c,True,False
1,7.12594387,3.0014,192.4,1.79,5779.0,1.087,47.1,0.0,0.0,0.0,0.0,5779.0,5779.0,0.0711,Kepler-105 c,True,False
0,7.442652004,2.3078,24446.0,15.03,6108.0,0.956,835.6,0.0,1.0,0.0,0.0,6108.0,6108.0,0.0742,,True,False
1,16.38489988,3.0249,1127.1,2.0,4126.0,0.615,28.9,0.0,0.0,0.0,0.0,4126.0,4126.0,0.1084,Kepler-52 c,True,False
1,7.8774163,2.0805,1306.1,2.16,4126.0,0.615,38.7,0.0,0.0,0.0,0.0,4126.0,4126.0,0.0665,Kepler-52 b,True,False
1,36.4454001,4.007,1122.3,1.99,4126.0,0.615,21.7,0.0,0.0,0.0,0.0,4126.0,4126.0,0.1847,Kepler-52 d,True,False
1,3.728732147,2.683,5226.5,6.02,5497.0,0.809,345.2,0.0,0.0,0.0,0.0,5497.0,5497.0,0.0455,Kepler-673 b,True,False
2,40.4195037,3.362,6256.0,7.51,5446.0,0.781,36.9,0.0,0.0,0.0,0.0,5446.0,5446.0,0.2062,,True,False
1,2.243380573,1.1196,821.7,1.99,4149.0,0.564,38.9,0.0,0.0,0.0,0.0,4149.0,4149.0,0.028,Kepler-674 b,True,False
0,10.405998015,6.5036,14489.0,11.23,5746.0,0.924,745.2,0.0,1.0,0.0,0.0,5746.0,5746.0,0.0855,,True,False
1,2.337437946,1.9982,971.2,2.34,5005.0,0.765,82.4,0.0,0.0,0.0,0.0,5005.0,5005.0,0.0325,Kepler-675 b,True,False
2,7.2406612,0.558,556.4,19.45,5005.0,0.765,13.7,0.0,0.0,0.0,0.0,5005.0,5005.0,0.0692,,True,False
2,3.43591631,3.133,23.2,0.55,5779.0,1.087,8.7,0.0,0.0,0.0,0.0,5779.0,5779.0,0.0437,,True,False
1,11.59822233,2.5237,2804.5,2.65,3688.0,0.473,71.0,0.0,0.0,0.0,0.0,3688.0,3688.0,0.0798,Kepler-676 b,True,False
1,6.575315881,4.3084,2793.3,5.31,5992.0,0.989,221.1,0.0,0.0,0.0,0.0,5992.0,5992.0,0.067,Kepler-677 b,True,False
1,7.275040844,7.5377,3001.0,4.86,5485.0,0.867,312.1,0.0,0.0,0.0,0.0,5485.0,5485.0,0.0732,Kepler-678 b,True,False
1,19.27153892,2.7594,1219.8,1.93,4077.0,0.56,37.1,0.0,0.0,0.0,0.0,4077.0,4077.0,0.1171,Kepler-231 c,True,False
1,10.06524317,1.369,1053.3,1.91,4077.0,0.56,30.3,0.0,0.0,0.0,0.0,4077.0,4077.0,0.076,Kepler-231 b,True,False
1,12.3935651,3.8896,916.6,2.66,5557.0,0.75,35.8,0.0,0.0,0.0,0.0,5557.0,5557.0,0.0983,Kepler-679 b,True,False
1,43.84439721,6.802,615.2,2.87,5854.0,1.012,83.7,0.0,0.0,0.0,0.0,5854.0,5854.0,0.2395,Kepler-106 e,True,False
0,3.341913228,3.813,725.3,21.55,5295.0,0.811,39.0,0.0,1.0,1.0,0.0,5295.0,5295.0,0.0415,,True,False
0,1.626630225,2.1145,1620.6,32.43,5735.0,0.973,103.6,0.0,0.0,1.0,0.0,5735.0,5735.0,0.026,,True,False
1,2.711504086,3.0099,837.5,3.12,6214.0,1.076,64.5,0.0,0.0,0.0,0.0,6214.0,6214.0,0.0401,Kepler-234 b,True,False
1,7.21203748,4.0491,950.4,3.32,6214.0,1.076,51.5,0.0,0.0,0.0,0.0,6214.0,6214.0,0.077,Kepler-234 c,True,False
0,14.1798187,2.505,459.9,1.88,5799.0,0.878,11.2,0.0,0.0,0.0,1.0,5799.0,5799.0,0.1137,,True,False
1,8.47237911,2.7245,1123.5,2.59,5354.0,0.788,47.6,0.0,0.0,0.0,0.0,5354.0,5354.0,0.0778,Kepler-233 b,True,False
1,60.4189369,5.039,931.3,2.36,5354.0,0.788,20.1,0.0,0.0,0.0,0.0,5354.0,5354.0,0.2884,Kepler-233 c,True,False
1,12.611904345,5.1497,6105.6,7.4,5795.0,0.919,277.2,0.0,0.0,0.0,0.0,5795.0,5795.0,0.1058,Kepler-682 b,True,False
0,1.433769925,1.8868,1976.3,46.58,6017.0,1.339,112.6,0.0,1.0,0.0,0.0,6017.0,6017.0,0.0256,,True,False
0,10.31872301,3.836,871.7,28.59,5927.0,1.06,38.2,0.0,1.0,1.0,0.0,5927.0,5927.0,0.0944,,True,False
1,2.539183147,2.4282,382.1,2.06,5519.0,1.062,38.9,0.0,0.0,0.0,0.0,5519.0,5519.0,0.0355,Kepler-683 b,True,False
1,6.770300385,2.0844,1304.0,2.77,5653.0,0.679,50.8,0.0,0.0,0.0,0.0,5653.0,5653.0,0.064,Kepler-684 b,True,False
0,0.444291966,2.0792,10967.0,27.51,5255.0,0.636,299.7,0.0,1.0,1.0,1.0,5255.0,5255.0,0.0101,,True,False
2,10.181584004,3.5089,5741.1,7.73,5988.0,0.836,183.6,0.0,0.0,0.0,0.0,5988.0,5988.0,0.0884,,True,False
1,20.06036336,3.3203,1494.7,1.96,3950.0,0.493,35.2,0.0,0.0,0.0,0.0,3950.0,3950.0,0.115,Kepler-235 d,True,False
1,46.1842039,4.758,1394.7,1.83,3950.0,0.493,26.0,0.0,0.0,0.0,0.0,3950.0,3950.0,0.2005,Kepler-235 e,True,False
1,23.9800854,5.351,104.0,1.31,5854.0,1.012,17.1,0.0,0.0,0.0,0.0,5854.0,5854.0,0.1602,Kepler-106 d,True,False
1,7.82502168,2.186,520.8,1.2,3950.0,0.493,15.9,0.0,0.0,0.0,0.0,3950.0,3950.0,0.0614,Kepler-235 c,True,False
1,3.895936525,2.3111,8544.8,7.34,5557.0,0.774,370.8,0.0,0.0,0.0,0.0,5557.0,5557.0,0.046,Kepler-688 b,True,False
1,22.36646466,5.228,986.8,2.32,5395.0,0.734,32.1,0.0,0.0,0.0,0.0,5395.0,5395.0,0.1449,Kepler-689 b,True,False
1,1.625522174,2.38963,7969.0,9.73,5539.0,1.106,799.7,0.0,0.0,0.0,0.0,5539.0,5539.0,0.0265,Kepler-685 b,True,False
2,19.620346923,2.0038,21725.0,13.6,5710.0,0.905,340.5,0.0,0.0,0.0,0.0,5710.0,5710.0,0.1389,,True,False
0,7.544039,6.222,322.6,17.47,5657.0,0.824,14.2,1.0,0.0,1.0,0.0,5657.0,5657.0,0.0731,,True,False
1,9.02930689,3.1449,1019.8,2.57,5349.0,0.82,53.9,0.0,0.0,0.0,0.0,5349.0,5349.0,0.0796,Kepler-1727 b,True,False
0,10.328035714,7.7915,16918.0,13.28,5627.0,1.024,636.8,0.0,1.0,0.0,0.0,5627.0,5627.0,0.0888,,True,False
1,143.2063047,8.9302,10566.0,8.9,5485.0,0.867,138.8,0.0,0.0,0.0,0.0,5485.0,5485.0,0.5336,Kepler-30 d,True,False
1,6.164876,3.262,55.8,0.79,5854.0,1.012,14.4,0.0,0.0,0.0,0.0,5854.0,5854.0,0.0648,Kepler-106 b,True,False
1,60.32494216,6.6188,20280.0,12.19,5485.0,0.867,347.2,0.0,0.0,0.0,0.0,5485.0,5485.0,0.2998,Kepler-30 c,True,False
1,29.1598615,4.803,488.0,1.91,5485.0,0.867,11.6,0.0,0.0,0.0,0.0,5485.0,5485.0,0.1847,Kepler-30 b,True,False
0,1.540397253,2.1541,816.1,25.69,5663.0,0.915,38.8,0.0,0.0,1.0,1.0,5663.0,5663.0,0.0264,,True,False
0,2.99025443,5.414,589.2,1.7,4667.0,0.731,48.5,0.0,0.0,1.0,1.0,4667.0,4667.0,0.0367,,True,False
1,1.594745374,1.9604,15044.0,11.3,5934.0,0.893,1009.3,0.0,0.0,0.0,0.0,5934.0,5934.0,0.0258,Kepler-686 b,True,False
1,4.783002698,2.335,1008.7,2.5,5170.0,0.807,70.6,0.0,0.0,0.0,0.0,5170.0,5170.0,0.0535,Kepler-1728 b,True,False
1,20.50588921,4.0595,2105.5,3.41,4905.0,0.761,78.5,0.0,0.0,0.0,0.0,4905.0,4905.0,0.1326,Kepler-687 b,True,False
1,3.340218842,1.9104,1632.6,2.03,3950.0,0.493,71.6,0.0,0.0,0.0,0.0,3950.0,3950.0,0.0348,Kepler-235 b,True,False
0,2.507089906,2.0067,1339.2,30.26,5926.0,0.939,64.9,0.0,1.0,1.0,0.0,5926.0,5926.0,0.0365,,True,False
1,18.64932728,4.4056,893.6,3.12,5775.0,1.053,46.1,0.0,0.0,0.0,0.0,5775.0,5775.0,0.139,Kepler-53 b,True,False
1,4.90144976,4.1654,140.7,1.7,5847.0,1.402,50.6,0.0,0.0,0.0,0.0,5847.0,5847.0,0.0586,Kepler-107 c,True,False
1,9.75192101,4.793,418.0,2.76,5775.0,1.053,28.5,0.0,0.0,0.0,0.0,5775.0,5775.0,0.0902,Kepler-53 d,True,False
1,38.5576546,5.794,993.0,4.02,5775.0,1.053,39.7,0.0,0.0,0.0,0.0,5775.0,5775.0,0.2255,Kepler-53 c,True,False
1,3.525632539,2.59959,22335.0,11.58,5150.0,0.793,1996.7,0.0,0.0,0.0,0.0,5150.0,5150.0,0.0431,Kepler-428 b,True,False
2,34.84398644,2.9315,4523.6,7.61,5509.0,0.871,76.8,0.0,0.0,0.0,0.0,5509.0,5509.0,0.1971,,True,False
1,7.748094239,3.5957,2472.1,5.52,5973.0,1.085,113.2,0.0,0.0,0.0,0.0,5973.0,5973.0,0.081,Kepler-690 b,True,False
1,23.96793669,3.827,1182.3,1.8,3747.0,0.524,27.5,0.0,0.0,0.0,0.0,3747.0,3747.0,0.1322,Kepler-236 c,True,False
1,8.29561738,1.3421,824.3,1.82,3747.0,0.524,17.9,0.0,0.0,0.0,0.0,3747.0,3747.0,0.0652,Kepler-236 b,True,False
1,8.11437482,2.2736,1558.0,2.1,3692.0,0.517,56.4,0.0,0.0,0.0,0.0,3692.0,3692.0,0.0649,Kepler-691 b,True,False
0,38.036729482,4.34617,82872.0,27.5,5575.0,0.932,1300.0,0.0,1.0,0.0,0.0,5575.0,5575.0,0.2252,,True,False
2,4.64090031,35.512,2450.6,30.09,6463.0,0.826,296.9,0.0,0.0,0.0,0.0,6463.0,6463.0,0.0503,,True,False
0,3.747838198,5.0642,616.0,13.65,5514.0,0.826,138.2,0.0,1.0,1.0,1.0,5514.0,5514.0,0.046,,True,False
1,14.74914825,6.0995,430.2,2.89,5847.0,1.402,107.4,0.0,0.0,0.0,0.0,5847.0,5847.0,0.1221,Kepler-107 e,True,False
1,21.81295996,4.3791,1175.4,3.38,5601.0,0.999,37.8,0.0,0.0,0.0,0.0,5601.0,5601.0,0.1495,Kepler-692 b,True,False
0,7.91936937,3.3148,15148.0,10.34,5690.0,0.776,389.0,0.0,1.0,0.0,0.0,5690.0,5690.0,0.0737,,True,False
2,1.028436523,1.8606,8098.0,72.77,6228.0,0.99,89.6,0.0,0.0,0.0,0.0,6228.0,6228.0,0.0197,,True,False
1,15.37562369,3.3169,15337.0,11.01,4986.0,0.833,166.0,0.0,0.0,0.0,0.0,4986.0,4986.0,0.1121,Kepler-693 b,True,False
1,8.10363271,3.161,887.9,2.11,4861.0,0.732,39.3,0.0,0.0,0.0,0.0,4861.0,4861.0,0.0712,Kepler-237 c,True,False
1,4.71510843,2.506,417.5,1.46,4861.0,0.732,21.3,0.0,0.0,0.0,0.0,4861.0,4861.0,0.0496,Kepler-237 b,True,False
1,6.365839713,2.9721,780.7,2.44,5776.0,0.849,70.8,0.0,0.0,0.0,0.0,5776.0,5776.0,0.0659,Kepler-694 b,True,False
0,5.97581754,3.065,962.4,3.86,6108.0,0.997,50.3,0.0,0.0,1.0,0.0,6108.0,6108.0,0.066,,True,False
0,2.446737317,4.7211,1177.9,26.25,5764.0,0.863,110.2,0.0,0.0,1.0,1.0,5764.0,5764.0,0.0351,,True,False
1,3.04033046,1.8411,10859.0,8.99,5035.0,0.791,568.2,0.0,0.0,0.0,0.0,5035.0,5035.0,0.0374,Kepler-695 b,True,False
1,15.33528675,3.897,3081.4,5.0,5251.0,0.817,86.6,0.0,0.0,0.0,0.0,5251.0,5251.0,0.1179,Kepler-27 b,True,False
1,7.95825328,4.377,50.0,1.06,5847.0,1.402,14.7,0.0,0.0,0.0,0.0,5847.0,5847.0,0.0809,Kepler-107 d,True,False
1,31.33046135,5.176,5073.8,6.5,5251.0,0.817,117.2,0.0,0.0,0.0,0.0,5251.0,5251.0,0.1898,Kepler-27 c,True,False
0,3.9043425,3.831,16228.0,12.28,5810.0,0.898,323.4,0.0,1.0,0.0,0.0,5810.0,5810.0,0.0484,,True,False
0,9.286358079,3.49949,44791.0,17.61,5670.0,0.821,1671.1,0.0,1.0,0.0,0.0,5670.0,5670.0,0.081,,True,False
0,3.951405455,2.1862,2453.9,31.44,6046.0,0.869,117.2,0.0,1.0,0.0,0.0,6046.0,6046.0,0.0482,,True,False
1,23.65369415,8.2183,3341.8,7.89,5739.0,1.384,266.3,0.0,0.0,0.0,0.0,5739.0,5739.0,0.1658,Kepler-238 e,True,False
