disposition,period,duration,transit_depth,planet_radius,star_temp,star_radius,model_snr,fp_flag_nt,fp_flag_ss,fp_flag_co,fp_flag_ec,source_kepler,source_tess
1,2.243380573,1.1196,821.7,1.99,4149.0,0.564,38.9,0.0,0.0,0.0,0.0,True,False
0,10.405998015,6.5036,14489.0,11.23,5746.0,0.924,745.2,0.0,1.0,0.0,0.0,True,False
1,2.337437946,1.9982,971.2,2.34,5005.0,0.765,82.4,0.0,0.0,0.0,0.0,True,False
1,11.59822233,2.5237,2804.5,2.65,3688.0,0.473,71.0,0.0,0.0,0.0,0.0,True,False
1,6.575315881,4.3084,2793.3,5.31,5992.0,0.989,221.1,0.0,0.0,0.0,0.0,True,False
1,7.275040844,7.5377,3001.0,4.86,5485.0,0.867,312.1,0.0,0.0,0.0,0.0,True,False
1,19.27153892,2.7594,1219.8,1.93,4077.0,0.56,37.1,0.0,0.0,0.0,0.0,True,False
1,10.06524317,1.369,1053.3,1.91,4077.0,0.56,30.3,0.0,0.0,0.0,0.0,True,False
1,12.3935651,3.8896,916.6,2.66,5557.0,0.75,35.8,0.0,0.0,0.0,0.0,True,False
1,43.84439721,6.802,615.2,2.87,5854.0,1.012,83.7,0.0,0.0,0.0,0.0,True,False
0,3.341913228,3.813,725.3,21.55,5295.0,0.811,39.0,0.0,1.0,1.0,0.0,True,False
0,1.626630225,2.1145,1620.6,32.43,5735.0,0.973,103.6,0.0,0.0,1.0,0.0,True,False
1,2.711504086,3.0099,837.5,3.12,6214.0,1.076,64.5,0.0,0.0,0.0,0.0,True,False
1,7.21203748,4.0491,950.4,3.32,6214.0,1.076,51.5,0.0,0.0,0.0,0.0,True,False
0,14.1798187,2.505,459.9,1.88,5799.0,0.878,11.2,0.0,0.0,0.0,1.0,True,False
1,8.47237911,2.7245,1123.5,2.59,5354.0,0.788,47.6,0.0,0.0,0.0,0.0,True,False
1,60.4189369,5.039,931.3,2.36,5354.0,0.788,20.1,0.0,0.0,0.0,0.0,True,False
1,12.611904345,5.1497,6105.6,7.4,5795.0,0.919,277.2,0.0,0.0,0.0,0.0,True,False
0,1.433769925,1.8868,1976.3,46.58,6017.0,1.339,112.6,0.0,1.0,0.0,0.0,True,False
0,10.31872301,3.836,871.7,28.59,5927.0,1.06,38.2,0.0,1.0,1.0,0.0,True,False
1,2.539183147,2.4282,382.1,2.06,5519.0,1.062,38.9,0.0,0.0,0.0,0.0,True,False
1,6.770300385,2.0844,1304.0,2.77,5653.0,0.679,50.8,0.0,0.0,0.0,0.0,True,False
0,0.444291966,2.0792,10967.0,27.51,5255.0,0.636,299.7,0.0,1.0,1.0,1.0,True,False
1,20.06036336,3.3203,1494.7,1.96,3950.0,0.493,35.2,0.0,0.0,0.0,0.0,True,False
1,46.1842039,4.758,1394.7,1.83,3950.0,0.493,26.0,0.0,0.0,0.0,0.0,True,False
1,23.9800854,5.351,104.0,1.31,5854.0,1.012,17.1,0.0,0.0,0.0,0.0,True,False
1,7.82502168,2.186,520.8,1.2,3950.0,0.493,15.9,0.0,0.0,0.0,0.0,True,False
1,3.895936525,2.3111,8544.8,7.34,5557.0,0.774,370.8,0.0,0.0,0.0,0.0,True,False
1,22.36646466,5.228,986.8,2.32,5395.0,0.734,32.1,0.0,0.0,0.0,0.0,True,False
