id,name,star_name,orbital_period,radius,ra,dec,duration,transit_depth,model_snr
67,BD+49 828 b,BD+49 828,2590.0,,45.6406187,49.7299481,,,
68,BD+55 362 b,BD+55 362,265.59,,23.9636676,56.6982282,,,
69,BD+60 1417 b,BD+60 1417,,14.68376472,190.8875453,60.0143636,,,
70,BD+63 1405 b,BD+63 1405,1214.24,,271.3979337,63.6700064,,,
71,BD-06 1339 b,BD-06 1339,3.8728,,88.2511811,-5.9963378,,,
72,BD-06 1339 c,BD-06 1339,125.94,,88.2511811,-5.9963378,,,
73,BD-08 2823 b,BD-08 2823,5.6,,150.1971964,-9.5165689,,,
74,BD-08 2823 c,BD-08 2823,237.6,,150.1971964,-9.5165689,,,
75,BD-10 3166 b,BD-10 3166,3.48761125,,164.6191243,-10.7704227,,,
76,BD-11 4672 b,BD-11 4672,1650.5,,278.3688659,-11.6370481,,,
77,BD-11 4672 c,BD-11 4672,74.2,,278.3688659,-11.6370481,,,
78,BD-13 2130 b,BD-13 2130,714.299995,,114.2884692,-13.9066703,,,
79,BD-14 3065 b,BD-14 3065 A,4.28897135,21.1506,153.6696689,-15.6428372,2.8015,0.617,
80,BD-17 63 b,BD-17 63,653.942495,,7.1413494,-16.2273254,,,
81,BD-210397 b,BD-210397,1891.0,,33.3024198,-21.1962147,,,
82,BD-210397 c,BD-210397,6300.0,,33.3024198,-21.1962147,,,
83,BEBOP-3 b,BEBOP-3,547.0,,110.902655,79.1323952,,,
84,Barnard b,Barnard's star,3.15375,,269.4486144,4.7379808,,,
85,Barnard c,Barnard's star,4.1244,,269.4486144,4.7379808,,,
86,Barnard d,Barnard's star,2.3402,,269.4486144,4.7379808,,,
87,Barnard e,Barnard's star,6.7392,,269.4486144,4.7379808,,,
88,CD Cet b,CD Cet,2.2907,,48.3530155,4.7751881,,,
89,CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,10037.5,,224.6208333,10.2286111,,,
90,CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,8040000.0,20.8487041,246.934277,-23.98115,,,
91,CHXR 73 b,CHXR 73,,,166.6193985,-77.6258725,,,
92,CI Tau c,CI Tau,25.2,,68.4667685,22.8416192,,,
93,COCONUTS-2 b,COCONUTS-2 A,402000000.0,12.44196858,117.300914,-76.702696,,,
94,CT Cha b,CT Cha,,24.66,166.0375038,-76.4553693,,,
95,CoRoT-1 b,CoRoT-1,1.508965289142857,17.734849,102.0798591,-3.1021394,2.373,1.62027,
